num_red_cells,num_blue_cells,num_blank_cells,red_total_power,blue_total_power,turn_count,turn_color,result
11,18,20,18,26,343,1,1
11,15,23,21,28,343,1,1
17,8,24,35,14,343,1,0
12,11,26,29,17,343,1,0
13,14,22,17,32,343,1,1
12,14,23,20,25,343,1,1
19,11,19,29,19,343,1,0
18,9,22,36,13,343,1,0
10,15,24,21,28,343,1,1
10,11,28,20,23,343,1,1
1,0,48,2,0,3,1,0
12,12,25,17,24,343,1,1
10,14,25,21,28,343,1,1
14,10,25,27,22,343,1,0
14,14,21,29,20,343,1,0
14,9,26,31,13,343,1,0
14,13,22,24,23,343,1,-1
14,14,21,18,31,343,1,1
12,14,23,20,29,343,1,1
10,15,24,19,25,343,1,1
18,8,23,30,19,343,1,0
13,15,21,18,31,343,1,1
13,11,25,28,21,343,1,0
19,6,24,41,8,343,1,0
13,13,23,25,24,343,1,-1
7,16,26,17,32,343,1,1
11,10,28,19,23,343,1,1
11,16,22,19,30,343,1,1
10,16,23,18,31,343,1,1
10,13,26,19,30,343,1,1
8,16,25,13,36,343,1,1
11,17,21,19,30,343,1,1
12,11,26,19,30,343,1,1
15,8,26,33,16,343,1,0
12,13,24,27,22,343,1,0
10,18,21,13,34,343,1,1
11,15,23,20,26,343,1,1
8,16,25,12,34,343,1,1
18,6,25,37,12,343,1,0
1,0,48,2,0,3,1,0
6,17,26,15,34,343,1,1
10,15,24,18,31,343,1,1
9,17,23,17,32,343,1,1
14,14,21,27,22,343,1,0
13,10,26,32,17,343,1,0
8,20,21,10,36,343,1,1
10,18,21,18,31,343,1,1
16,7,26,35,10,343,1,0
13,10,26,24,15,343,1,0
14,9,26,27,17,343,1,0
13,12,24,23,26,343,1,1
14,14,21,24,25,343,1,-1
7,19,23,12,37,343,1,1
15,10,24,27,22,343,1,0
14,10,25,33,16,343,1,0
9,17,23,16,33,343,1,1
6,16,27,13,36,343,1,1
10,13,26,19,20,343,1,-1
13,13,23,25,24,343,1,-1
7,16,26,16,29,343,1,1
17,9,23,29,20,343,1,0
12,13,24,27,22,343,1,0
15,13,21,28,21,343,1,0
12,17,20,22,27,343,1,1
16,13,20,24,25,343,1,-1
14,14,21,24,25,343,1,-1
9,17,23,10,36,343,1,1
1,0,48,2,0,3,1,0
12,15,22,20,29,343,1,1
18,14,17,24,25,343,1,-1
11,14,24,26,20,343,1,0
9,15,25,13,32,343,1,1
12,17,20,17,27,343,1,1
14,13,22,25,24,343,1,-1
14,14,21,26,22,343,1,0
14,11,24,27,22,343,1,0
22,7,20,34,15,343,1,0
13,9,27,31,18,343,1,0
16,10,23,30,16,343,1,0
9,19,21,17,32,343,1,1
18,10,21,30,19,343,1,0
10,14,25,17,29,343,1,1
1,0,48,2,0,3,1,0
16,8,25,32,12,343,1,0
9,17,23,18,25,343,1,1
19,5,25,35,14,343,1,0
14,10,25,25,24,343,1,-1
15,13,21,27,22,343,1,0
18,13,18,29,20,343,1,0
11,12,26,24,22,343,1,0
17,10,22,31,18,343,1,0
18,10,21,36,13,343,1,0
12,12,25,28,15,343,1,0
9,14,26,21,28,343,1,1
15,12,22,28,21,343,1,0
8,15,26,17,32,343,1,1
11,14,24,25,20,343,1,0
1,0,48,2,0,3,1,0
19,6,24,36,13,343,1,0
18,11,20,30,19,343,1,0
13,10,26,26,18,343,1,0
11,17,21,15,34,343,1,1
